RepeFonct,ElemSys,LineRev,LineStatus,ComponentKind,Contrat,ActuKind,PSU_ECS1,PSU_Volt1,t_CloseReq,ValvFailSfPositn
-DFG1112RA-,DFG,I.2,Validated,Balancing Damper,/FD2321,null,null,null,null,null
-DFG1113RA-,DFG,I.2,Validated,Balancing Damper,/FD2321,null,null,null,null,null
