RepeFonct,ElemSys,LibOccur,LineRev,ComponentKind,Contrat,Type,Manufact,ActuKind,ActuRef,PSU_ECS1,PSU_Volt1,CompartAlloc,t_CloseReq,ValvFailSfPositn,SGApp
-DCL3301RA-,-DCL,MANUAL ISL DMPR DCLb3,I.2,Manual isolation damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL3430RA-,-DCL,NON RETURN DMPR DCLb3,I.2,Non return damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL3434RA-,-DCL,BAL DMPR DCLb3,I.2,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL3442RA-,-DCL,NON RETURN DMPR FAN DCLb3,I.2,Non return damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL3444RA-,-DCL,AHU DNSTR BAL DMPR DCLb3,I.2,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL3445RA-,-DCL,AHU UPSTR BAL DMPR DCLb3,I.2,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL3451RA-,-DCL,AHU UPSTR ISL DMPR DCLb3,I.2,Manual isolation damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL3452RA-,-DCL,RECIRC LN BAL DMPR DCLb3,I.2,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL4101RA-,-DCL,FRESH AIR CTRL DMPR DCLm4,I.2,Motorized control damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-03-1
-DCL4101RAM,-DCL,FRESH AIR CTRL DMPR MTR DCLm4,I.4,null,/HK2721,ELECTRICAL ACTUATOR,null,Control Damper,null,-LVI1101TB-,400,-LVI447AJC-,null,No,-
