n.RepeFonct,ElemSys,n.LineRev,n.ComponentKind,n.Contrat,n.ActuKind,n.PSU_ECS1,n.PSU_Volt1,n.t_CloseReq,Type,n.ValvFailSfPositn,SGApp
-DCL4430RA-,-DCL,I.7,Non return damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL4434RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL4441RA-,-DCL,I.7,Non return damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL4443RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL4445RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL4451RA-,-DCL,I.6,Manual isolation damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL4452RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5202RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5203RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5206RA-,-DCL,I.5,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5207RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5208RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5209RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5211RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5212RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5213RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5214RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5216RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5217RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5218RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5219RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5220RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5221RA-,-DCL,I.2,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5222RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5223RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5224RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5226RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5227RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5228RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5229RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5230RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5232RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
