n.RepeFonct,ElemSys,n.LineRev,n.ComponentKind,n.Contrat,n.ActuKind,n.PSU_ECS1,n.PSU_Volt1,n.t_CloseReq,Type,n.ValvFailSfPositn,SGApp
-DVL6501RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6501RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2001AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6502RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6502RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2001AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6503RA-,-DVL,I.5,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6503RAM,-DVL,I.4,Fire damper actuator,/HK2721,Fire Damper,-JDT2003AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6504RA-,-DVL,I.6,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6504RAM,-DVL,I.4,Fire damper actuator,/HK2721,Fire Damper,-JDT2003AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6505RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6505RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2001AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6506RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6506RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2001AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6507RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6507RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2001AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6508RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6508RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2003AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6509RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6509RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2003AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6510RA-,-DVL,I.5,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6510RAM,-DVL,I.4,Fire damper actuator,/HK2721,Fire Damper,-JDT2003AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6513RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6513RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2003AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6516RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6516RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2003AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6521RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6521RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2001AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6522RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6522RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2001AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6524RA-,-DVL,I.8,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6524RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2001AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6525RA-,-DVL,I.8,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6525RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2001AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6526RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6526RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2001AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6531RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6531RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2003AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6532RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6532RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2003AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6537RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6537RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2003AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6538RA-,-DVL,I.5,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6538RAM,-DVL,I.5,Fire damper actuator,/HK2721,Fire Damper,-JDT2004AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6540RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6540RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2003AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6543RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6543RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2003AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6544RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6544RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2003AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6546RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6546RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2003AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6547RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6547RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2003AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6548RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6548RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2003AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6549RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6549RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2003AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6550RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6550RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2003AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6552RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6552RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2003AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6554RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6554RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2005AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6560RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6560RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2003AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6562RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6562RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2003AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6563RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6563RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2003AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6564RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6564RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2003AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6565RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6565RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2003AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6566RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6566RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2003AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6568RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6568RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2003AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6569RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6569RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2003AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6571RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6571RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2003AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6572RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6572RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2003AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6575RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6575RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2003AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6576RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6576RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2003AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6577RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6577RAM,-DVL,I.7,Fire damper actuator,/HK2721,Fire Damper,-JDT2003AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6578RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6578RAM,-DVL,I.7,Fire damper actuator,/HK2721,Fire Damper,-JDT2003AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6579RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6579RAM,-DVL,I.7,Fire damper actuator,/HK2721,Fire Damper,-JDT2003AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6580RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6580RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2005AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6581RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6581RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2005AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6582RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6582RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2005AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6583RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6583RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2005AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6584RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6584RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2005AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6585RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6585RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2005AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6586RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6586RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2005AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6587RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6587RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2005AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6590RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6590RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2005AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6591RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6591RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2005AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6593RA-,-DVL,I.5,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6593RAM,-DVL,I.5,Fire damper actuator,/HK2721,Fire Damper,-JDT2003AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6594RA-,-DVL,I.5,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6594RAM,-DVL,I.5,Fire damper actuator,/HK2721,Fire Damper,-JDT2003AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6595RA-,-DVL,I.5,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6595RAM,-DVL,I.5,Fire damper actuator,/HK2721,Fire Damper,-JDT2003AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6599RA-,-DVL,I.5,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6599RAM,-DVL,I.4,Fire damper actuator,/HK2721,Fire Damper,-JDT2003AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6601RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6601RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2005AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6602RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6602RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2005AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6603RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6603RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2005AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6604RA-,-DVL,I.9,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6604RAM,-DVL,I.7,Fire damper actuator,/HK2721,Fire Damper,-JDT2005AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6605RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6605RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2005AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6606RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6606RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2005AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6608RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6608RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2005AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6609RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6609RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2005AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6610RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6610RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2005AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6611RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6611RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2005AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6612RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6612RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2005AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6613RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6613RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2005AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6614RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6614RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2005AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6616RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6616RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2005AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6623RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6623RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2005AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6624RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6624RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2005AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6650RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6650RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2005AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6651RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6651RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2005AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6652RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6652RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2005AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6653RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6653RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2005AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6654RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6654RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2005AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6655RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6655RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2005AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6656RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6656RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2005AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6657RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6657RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2005AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6662RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6662RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2005AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6663RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6663RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2005AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6664RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6664RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2005AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6665RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6665RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2005AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6666RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6666RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2005AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6667RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6667RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2005AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6668RA-,-DVL,I.5,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6668RAM,-DVL,I.5,Fire damper actuator,/HK2721,Fire Damper,-JDT2004CR-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6669RA-,-DVL,I.5,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6669RAM,-DVL,I.5,Fire damper actuator,/HK2721,Fire Damper,-JDT2004CR-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6801RA-,-DVL,I.7,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DVL6803RA-,-DVL,I.7,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DVL6804RA-,-DVL,I.7,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DVL6805RA-,-DVL,I.7,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DVL6806RA-,-DVL,I.7,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DVL6807RA-,-DVL,I.7,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DVL6808RA-,-DVL,I.7,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DVL6809RA-,-DVL,I.7,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DVL6811RA-,-DVL,I.7,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DVL6814RA-,-DVL,I.7,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DVL6815RA-,-DVL,I.7,Fire Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-04-1
-DVL6815RAM,-DVL,I.6,Fire damper actuator,/HK2721,Fire Damper,-JDT2003AI-,24,-,ELECTRICAL ACTUATOR,No,-
-DVL6816RA-,-DVL,I.7,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DVL6820RA-,-DVL,I.5,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DVL6821RA-,-DVL,I.7,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DVL6822RA-,-DVL,I.7,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DVL6825RA-,-DVL,I.2,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DVL6831RA-,-DVL,I.7,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DVL6835RA-,-DVL,I.7,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DVL6838RA-,-DVL,I.7,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DVL6840RA-,-DVL,I.5,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DVL6841RA-,-DVL,I.4,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DVL6843RA-,-DVL,I.7,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DVL6845RA-,-DVL,I.7,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DVL6862RA-,-DVL,I.7,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DVL6863RA-,-DVL,I.7,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DVL6864RA-,-DVL,I.7,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DVL6865RA-,-DVL,I.7,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DVL6868RA-,-DVL,I.7,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DVL6869RA-,-DVL,I.7,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DVL6870RA-,-DVL,I.7,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DVL6871RA-,-DVL,I.7,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
